,index,place name,reviewer,score,useravg,comment
8268,45880,일상의즐거움,Kristin,4.0,4.4,
8269,45880,일상의즐거움,MJay Ko 고 민정,4.0,3.3,"Spanish
"
8270,45880,일상의즐거움,블블,5.0,4.0,"스페니쉬 수준급 
가지칩, 메로구이 마시따  
그냥 전부 다 마시쏘
"
8271,45881,켈리갤러리앤레스토랑,돌돌이,5.0,3.0,"너무너무 맛있어요. 특히 리조또랑 아보카도 파스타 대박입니다. 피자도 쫀득쫀득하니 넘 맛있음. 인생 맛집.
"
8272,45881,켈리갤러리앤레스토랑,lld,5.0,3.7,"리조또랑 파스타 모두 맛있어요~ 분위기 좋은 동네 맛집
"
8273,45881,켈리갤러리앤레스토랑,seize,5.0,4.3,"가성비좋은 음식점은 여기가 베스트입니다..! 음식맛은 가성비 이상을 넘어요:)) 리조또랑 파스타 다 추천해여 계속 생각나는 맛이라서 자주 갑니당;>
"
8274,45881,켈리갤러리앤레스토랑,Toast,5.0,4.4,"Yum
"
8275,45881,켈리갤러리앤레스토랑,SOL,3.0,3.3,"가야는이유 : 홈메이드스타일로 부담없는 맛 그리고 적정한 가격
안가는이유 : 엄청 뛰어난 맛은 아닌
"
8276,45881,켈리갤러리앤레스토랑,문라이트,5.0,4.4,"강추합니다. 피자와 파스타 모두 어디에서도 먹어본 적 없는 맛입니다.
"
8277,45881,켈리갤러리앤레스토랑,정혜중,5.0,5.0,"이렇게 맛있는 리조또, 파스타라니~~
먹음직스럽죠?
오징어먹물리조또떡볶이 강강추~~
"
8278,45881,켈리갤러리앤레스토랑,Cho,5.0,3.7,"Great atmosphere and food.  We tried a large ham & sausage pizza.
"
8279,45881,켈리갤러리앤레스토랑,MJay Ko 고 민정,3.0,3.3,"Sweet Pumpkin Pizza &
Shrimp Cream Pasta
"
8280,45882,벨로타벨로타 서래점,Raposo,5.0,5.0,"Very good quality of food. Being Spanish I could enjoy good lunch with spanish flavor…
"
8281,45882,벨로타벨로타 서래점,정환수,3.0,4.1,
8282,45882,벨로타벨로타 서래점,구스구스,1.0,3.4,
8283,45882,벨로타벨로타 서래점,방문자,5.0,2.7,"벨로타벨로타 못 잃어!!
"
8284,45882,벨로타벨로타 서래점,구마동,5.0,5.0,"플루마 스테이크 최고~~ 꼭 추천하고 싶은 맛입니다.
"
8285,45882,벨로타벨로타 서래점,MJay Ko 고 민정,3.0,3.3,"Spanish Cuisine
"
8286,45882,벨로타벨로타 서래점,Kristin,4.0,4.4,
8287,45882,벨로타벨로타 서래점,♡,2.0,3.6,"양이 진짜 적어용.. 하하 회식으로 갔는데 다들 나와서 배고파서 먹으러갔다능. 분위기는 좋고 맛은 있어요
"
8288,45883,비스트로 뽈뽀,dols,5.0,3.0,"기념일 식사했는데 작은것부터 세심한 배려에 식사전부터 나올때까지 너무 기분좋아지는 가게였어요. 사장님 한분이 요리와 응대 모두 하시는 것 같았는데 너무 기다리지 않게 알맞은 타이밍에 음식이 서빙되고 하나하나 친절히 설명해주셔서 더 맛있게 먹을 수 있었습니다. 작고 캐주얼한 가게지만 음식에 진심인 가게입니다. 서울 동쪽 끝에서 찾아서 간 가게인데 정말 기분좋게 식사하고 나왔어요.💛

"
8289,45883,비스트로 뽈뽀,자유,5.0,4.0,"최고였습니다. 더 형용할 수 없을 것 같습니다.
"
8290,45883,비스트로 뽈뽀,두루룻,4.0,4.2,"개비싼데 개맛잇음
"
8291,45883,비스트로 뽈뽀,격,4.0,3.3,"훌륭해요
"
8292,45883,비스트로 뽈뽀,감비,3.0,3.8,
8293,45883,비스트로 뽈뽀,루아스,5.0,5.0,"가격대가 낮지 않다보니 다른 의견도 있을수 있지만, 어느정도의 가격대를 감당한다면 정말 좋은 재료로 좋은 음식을 내는 보석같은 곳입니다. 그냥 흔한 식당과는 달라요.
"
8294,45883,비스트로 뽈뽀,🙏🏻,5.0,4.9,"조만간 없어져서 아쉬워요... 맛있게 잘 먹고 갑니다!
"
8295,45883,비스트로 뽈뽀,Seunghee Kang,4.0,3.8,"가격이 꽤 나가지만 쉐프의 다양한 일본식 이탈리안 요리를 맛볼 수 있는 곳
"
8296,45883,비스트로 뽈뽀,박진현,4.0,3.3,"방배동 사잇길 비스트로. 인테리어는 최신 트렌드랑은 조금 다르다. 밝은 조명에 밝은 나무 테이블. 하지만 음식은 트렌드를 충실히 반영. 여기도 어란과 우니가 전진배치되어 있다. 하지만 재료 치트키로 승부를 보려 하는 일부 집들과 달리 기본기가 충실하다는 인상. 면을 잘 다루고, 재료 배합 자체도 면이 가장 맛나도록 구성된 느낌. 먹어본 우니 파스타 중 우니를 가장 푸짐하게 주는 편이었음. 알리오올리오도 맛났음. 어딘가 일본 느낌이라는 혹자의 평에 십분 동의.

"
8297,45884,도미노피자 방배점,우진이,1.0,1.6,"배달이 나오면서 사이드 메뉴 땅에 떨어뜨렸는데 음식 바닦에 다 흘림 근데 그냥 다시 주워서 박스에 넣고 배달감 ㅋㅋㅋㅋㅋㅋ 그 음식 누가 먹었는지 불쌍함 ㅋㅋㅋㅋㅋ
"
8298,45885,칫쵸,💛,5.0,4.2,"맛이 정말 좋고 가성비 좋아요
"
8299,45885,칫쵸,MJay Ko 고 민정,4.0,3.3,"Japanese Style Italian or
Italian Style Japanese
"
8300,45885,칫쵸,맛있는게최고야,5.0,3.0,"음식 하나하나 만족스러웠고, 서버분들도 친절하셔서 기분좋게 식사했습니다. 아나고덮밥이 가장 맛있었습니다.
"
